census_tract,total_pop,under_5,5_to_9,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Selected Age Categories,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,Male population,Under 5 years,5 to 9 years,10 to 14 years_1,15 to 19 years_1,20 to 24 years_1,25 to 29 years_1,30 to 34 years_1,35 to 39 years_1,40 to 44 years_1,45 to 49 years_1,50 to 54 years_1,55 to 59 years_1,60 to 64 years_1,65 to 69 years_1,70 to 74 years_1,75 to 79 years_1,80 to 84 years_1,85 years and over_1,Selected Age Categories_1,16 years and over_1,18 years and over_1,21 years and over_1,62 years and over_1,65 years and over_1,Female population,Under 5 years_1,5 to 9 years_1,10 to 14 years_2,15 to 19 years_2,20 to 24 years_2,25 to 29 years_2,30 to 34 years_2,35 to 39 years_2,40 to 44 years_2,45 to 49 years_2,50 to 54 years_2,55 to 59 years_2,60 to 64 years_2,65 to 69 years_2,70 to 74 years_2,75 to 79 years_2,80 to 84 years_2,85 years and over_2,Selected Age Categories_2,16 years and over_2,18 years and over_2,21 years and over_2,62 years and over_2,65 years and over_2,MEDIAN AGE BY SEX,Both sexes,Male,Female,RACE,Total population,One Race,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,TOTAL RACES TALLIED [1],Total races tallied,White alone or in combination with one or more other races,Black or African American alone or in combination with one or more other races,American Indian and Alaska Native alone or in combination with one or more other races,Asian alone or in combination with one or more other races,Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,Some Other Race alone or in combination with one or more other races,HISPANIC OR LATINO,Total population_1,Hispanic or Latino (of any race),Not Hispanic or Latino,HISPANIC OR LATINO BY RACE,Total population_2,Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races_1,Not Hispanic or Latino_1,White alone_1,Black or African American alone_1,American Indian and Alaska Native alone_1,Asian alone_1,Native Hawaiian and Other Pacific Islander alone_1,Some Other Race alone_1,Two or More Races_2,RELATIONSHIP,Total population_3,In households,Householder,Opposite-sex spouse,Same-sex spouse,Opposite-sex unmarried partner,Same-sex unmarried partner,Child [2],Under 18 years,Grandchild,Under 18 years_1,Other relatives,Nonrelatives,In group quarters,Institutionalized population:,Male_1,Female_1,Noninstitutionalized population:,Male_2,Female_2,HOUSEHOLDS BY TYPE,Total households,Married couple household,With own children under 18 [3],Cohabiting couple household,With own children under 18 [3]_1,"Male householder, no spouse or partner present:",Living alone,65 years and over_3,With own children under 18 [3]_2,"Female householder, no spouse or partner present:",Living alone_1,65 years and over_4,With own children under 18 [3]_3,Households with individuals under 18 years,Households with individuals 65 years and over,HOUSING OCCUPANCY,Total housing units,Occupied housing units,Vacant housing units,For rent,"Rented, not occupied",For sale only,"Sold, not occupied","For seasonal, recreational, or occasional use",All other vacants,VACANCY RATES,Homeowner vacancy rate (percent) [4],Rental vacancy rate (percent) [5],HOUSING TENURE,Occupied housing units_1,Owner-occupied housing units,Renter-occupied housing units,near_hblr,white_pct,black_pct,asian_pct,amerindian_pct,other_pct,hispanic_pct,near_path
Census Tract 1.01; Hudson County; New Jersey!!Percent,100.00%,6.30%,6.30%,6.70%,5.70%,6.80%,10.40%,9.70%,8.30%,5.80%,4.50%,6.40%,6.60%,5.30%,4.50%,2.90%,1.30%,1.60%,0.70%,,79.70%,77.20%,74.30%,13.90%,11.20%,100.00%,7.30%,6.80%,6.90%,5.60%,7.20%,10.00%,10.30%,8.80%,6.00%,4.60%,6.30%,6.00%,4.40%,4.20%,2.80%,0.90%,1.60%,0.50%,,78.30%,75.50%,72.70%,12.20%,10.00%,100.00%,5.20%,5.80%,6.50%,5.80%,6.40%,10.80%,9.10%,7.90%,5.70%,4.50%,6.50%,7.20%,6.20%,4.90%,3.00%,1.80%,1.70%,1.00%,,81.10%,78.90%,75.80%,15.60%,12.40%,,(X),(X),(X),,100.00%,87.70%,24.20%,5.10%,1.30%,34.10%,0.00%,23.10%,12.30%,,112.70%,33.90%,7.90%,2.10%,35.00%,0.00%,33.80%,,100.00%,41.50%,58.50%,,100.00%,41.50%,6.30%,1.00%,1.30%,0.30%,0.00%,21.70%,10.80%,58.50%,17.80%,4.10%,0.00%,33.80%,0.00%,1.40%,1.40%,,100.00%,99.50%,33.60%,14.90%,0.20%,2.20%,0.10%,29.80%,20.10%,2.20%,1.60%,10.50%,6.10%,0.50%,0.00%,0.00%,0.00%,0.50%,0.40%,0.20%,,100.00%,45.50%,22.30%,6.30%,3.20%,22.30%,10.50%,2.60%,2.10%,26.00%,9.60%,3.20%,6.50%,38.30%,22.30%,,100.00%,91.90%,8.10%,2.60%,0.10%,1.10%,0.70%,0.80%,2.90%,,(X),(X),,100.00%,37.90%,62.10%,False,17.8,4.1,33.8,0.0,1.4,41.5,False
Census Tract 1.02; Hudson County; New Jersey!!Percent,100.00%,5.50%,5.30%,5.60%,5.50%,7.10%,9.10%,11.10%,8.40%,6.40%,5.70%,6.20%,6.60%,5.70%,4.40%,3.30%,1.90%,1.10%,1.10%,,82.40%,80.40%,76.90%,14.90%,11.80%,100.00%,6.20%,5.10%,5.50%,5.70%,6.90%,10.10%,10.90%,9.30%,6.40%,5.40%,6.00%,5.80%,5.80%,4.20%,3.00%,2.10%,1.10%,0.60%,,82.40%,80.10%,76.40%,14.20%,11.00%,100.00%,4.90%,5.60%,5.70%,5.30%,7.20%,8.20%,11.30%,7.60%,6.40%,5.90%,6.30%,7.50%,5.60%,4.50%,3.60%,1.80%,1.20%,1.60%,,82.50%,80.70%,77.50%,15.50%,12.60%,,(X),(X),(X),,100.00%,88.20%,23.90%,7.10%,1.10%,32.20%,0.10%,23.80%,11.80%,,112.50%,33.40%,9.40%,2.20%,32.90%,0.30%,34.30%,,100.00%,41.50%,58.50%,,100.00%,41.50%,5.60%,1.40%,0.90%,0.00%,0.10%,23.00%,10.50%,58.50%,18.30%,5.70%,0.20%,32.20%,0.00%,0.80%,1.40%,,100.00%,99.90%,34.70%,15.40%,0.20%,2.10%,0.10%,29.10%,16.80%,2.00%,1.80%,10.00%,6.30%,0.10%,0.00%,0.00%,0.00%,0.10%,0.10%,0.00%,,100.00%,45.30%,19.20%,6.30%,2.40%,21.60%,10.70%,1.50%,2.90%,26.80%,10.50%,4.40%,5.50%,34.50%,23.10%,,100.00%,92.60%,7.40%,3.60%,0.30%,0.40%,0.10%,0.20%,2.70%,,(X),(X),,100.00%,32.60%,67.40%,False,18.3,5.7,32.2,0.2,0.8,41.5,False
Census Tract 2; Hudson County; New Jersey!!Percent,100.00%,5.10%,6.40%,5.60%,5.20%,7.30%,9.60%,10.40%,8.10%,6.60%,5.90%,5.60%,5.10%,4.60%,4.40%,4.00%,2.80%,1.90%,1.40%,,81.60%,79.70%,76.30%,17.00%,14.50%,100.00%,5.10%,6.80%,5.50%,5.50%,8.40%,10.30%,10.80%,8.90%,6.60%,5.70%,5.30%,4.70%,4.60%,4.00%,3.10%,2.30%,1.50%,0.90%,,81.10%,79.00%,75.50%,14.20%,11.80%,100.00%,5.10%,6.00%,5.60%,4.90%,6.20%,8.90%,10.00%,7.30%,6.60%,6.20%,5.90%,5.50%,4.50%,4.80%,4.90%,3.30%,2.30%,1.90%,,82.10%,80.30%,77.00%,19.80%,17.20%,,(X),(X),(X),,100.00%,84.30%,23.50%,7.60%,0.90%,19.50%,0.10%,32.80%,15.70%,,117.10%,36.00%,11.50%,2.10%,20.50%,0.40%,46.60%,,100.00%,54.80%,45.20%,,100.00%,54.80%,7.60%,1.60%,0.70%,0.20%,0.00%,31.20%,13.60%,45.20%,15.90%,5.90%,0.20%,19.30%,0.10%,1.60%,2.10%,,100.00%,100.00%,38.50%,12.60%,0.40%,2.80%,0.20%,28.10%,17.10%,2.60%,2.30%,8.50%,6.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,33.30%,14.10%,8.00%,2.90%,23.10%,13.50%,3.90%,2.20%,35.50%,17.10%,9.70%,7.30%,29.50%,29.80%,,100.00%,93.10%,6.90%,3.30%,0.10%,0.80%,0.20%,0.00%,2.40%,,(X),(X),,100.00%,25.00%,75.00%,False,15.9,5.9,19.3,0.2,1.6,54.8,False
Census Tract 3; Hudson County; New Jersey!!Percent,100.00%,5.00%,5.40%,5.10%,4.70%,7.40%,12.10%,10.60%,9.70%,7.20%,6.80%,5.90%,5.40%,4.80%,4.20%,2.30%,1.60%,1.00%,0.90%,,83.50%,82.10%,78.90%,12.40%,9.90%,100.00%,5.50%,4.90%,5.30%,4.60%,6.80%,12.50%,11.00%,9.60%,7.60%,6.40%,6.20%,5.80%,4.50%,4.10%,2.30%,1.10%,1.00%,0.60%,,83.50%,82.30%,79.10%,11.50%,9.10%,100.00%,4.50%,6.00%,4.90%,4.80%,8.00%,11.60%,10.20%,9.90%,6.70%,7.20%,5.50%,5.00%,5.10%,4.30%,2.20%,2.00%,1.10%,1.20%,,83.50%,81.90%,78.60%,13.30%,10.70%,,(X),(X),(X),,100.00%,85.50%,38.00%,4.50%,1.50%,12.70%,0.00%,28.70%,14.50%,,115.50%,50.30%,6.70%,2.60%,14.60%,0.30%,41.00%,,100.00%,48.40%,51.60%,,100.00%,48.40%,6.40%,0.90%,1.40%,0.20%,0.00%,27.70%,11.80%,51.60%,31.60%,3.60%,0.10%,12.60%,0.00%,1.10%,2.70%,,100.00%,100.00%,40.20%,14.30%,0.40%,3.30%,0.30%,25.40%,15.70%,1.60%,1.40%,6.20%,8.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,36.50%,16.20%,8.60%,2.00%,27.10%,17.40%,1.90%,1.60%,27.80%,13.40%,3.90%,4.70%,27.50%,17.90%,,100.00%,91.50%,8.50%,3.20%,0.30%,0.60%,0.60%,0.60%,3.20%,,(X),(X),,100.00%,31.30%,68.70%,True,31.6,3.6,12.6,0.1,1.1,48.4,False
Census Tract 4; Hudson County; New Jersey!!Percent,100.00%,6.20%,6.50%,5.20%,4.90%,7.00%,11.20%,9.50%,7.80%,7.30%,6.10%,6.60%,5.40%,6.00%,3.90%,3.20%,2.10%,0.70%,0.50%,,81.30%,79.10%,76.60%,13.40%,10.30%,100.00%,6.20%,7.00%,5.10%,4.80%,7.60%,11.30%,10.10%,8.20%,7.50%,6.40%,6.60%,4.60%,5.70%,3.30%,3.10%,1.40%,0.50%,0.30%,,81.10%,78.80%,76.30%,12.10%,8.80%,100.00%,6.20%,5.90%,5.20%,5.10%,6.50%,11.10%,8.80%,7.40%,7.10%,5.80%,6.50%,6.20%,6.20%,4.40%,3.40%,2.80%,0.80%,0.60%,,81.50%,79.30%,77.00%,14.80%,11.90%,,(X),(X),(X),,100.00%,89.70%,21.60%,4.80%,1.10%,41.80%,0.00%,20.40%,10.30%,,111.00%,28.60%,7.50%,2.40%,43.40%,0.20%,28.90%,,100.00%,34.50%,65.50%,,100.00%,34.50%,4.80%,1.10%,0.70%,0.20%,0.00%,19.20%,8.60%,65.50%,16.80%,3.70%,0.50%,41.60%,0.00%,1.20%,1.80%,,100.00%,100.00%,35.50%,16.10%,0.30%,2.20%,0.10%,28.70%,18.60%,1.70%,1.40%,9.60%,5.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,45.70%,22.10%,6.30%,2.80%,22.40%,12.10%,2.30%,1.80%,25.50%,11.60%,4.50%,4.20%,33.00%,23.50%,,100.00%,91.60%,8.40%,3.20%,0.00%,1.10%,0.40%,0.00%,3.70%,,(X),(X),,100.00%,31.90%,68.10%,False,16.8,3.7,41.6,0.5,1.2,34.5,False
Census Tract 5; Hudson County; New Jersey!!Percent,100.00%,6.50%,6.40%,5.10%,5.60%,7.40%,10.60%,10.50%,8.80%,7.50%,5.60%,5.70%,4.90%,4.90%,4.00%,2.80%,1.70%,1.10%,0.90%,,81.00%,79.00%,75.40%,13.40%,10.50%,100.00%,6.70%,6.00%,5.40%,6.10%,8.20%,10.80%,10.10%,9.70%,8.10%,5.50%,5.40%,4.60%,5.00%,3.40%,2.60%,1.30%,0.60%,0.50%,,80.70%,78.40%,75.30%,11.00%,8.50%,100.00%,6.20%,6.90%,4.90%,5.10%,6.60%,10.40%,11.00%,7.80%,6.90%,5.60%,6.10%,5.20%,4.80%,4.70%,3.00%,2.20%,1.50%,1.20%,,81.40%,79.60%,75.60%,15.70%,12.60%,,(X),(X),(X),,100.00%,88.30%,28.40%,6.20%,1.00%,30.40%,0.10%,22.30%,11.70%,,112.50%,37.70%,9.20%,1.70%,31.80%,0.30%,31.90%,,100.00%,38.80%,61.20%,,100.00%,38.80%,6.20%,1.60%,0.80%,0.00%,0.10%,21.00%,9.20%,61.20%,22.20%,4.60%,0.20%,30.30%,0.00%,1.30%,2.50%,,100.00%,100.00%,36.40%,14.70%,0.30%,2.30%,0.40%,28.50%,18.40%,2.30%,1.80%,8.80%,6.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,41.40%,20.10%,7.30%,2.00%,23.90%,13.60%,1.40%,1.70%,27.40%,11.50%,4.10%,5.60%,33.60%,18.70%,,100.00%,91.30%,8.70%,4.40%,0.60%,0.50%,0.40%,0.30%,2.40%,,(X),(X),,100.00%,30.60%,69.40%,False,22.2,4.6,30.3,0.2,1.3,38.8,False
Census Tract 6; Hudson County; New Jersey!!Percent,100.00%,6.00%,6.50%,5.20%,5.10%,6.70%,9.30%,10.50%,8.90%,7.30%,5.90%,6.40%,5.80%,5.50%,4.30%,2.70%,1.90%,0.80%,1.00%,,81.00%,79.30%,76.00%,13.80%,10.80%,100.00%,6.00%,7.00%,5.50%,5.10%,7.30%,9.50%,10.10%,9.10%,7.40%,5.60%,6.50%,5.70%,5.00%,4.10%,2.80%,2.00%,0.60%,0.60%,,80.40%,78.70%,75.30%,13.10%,10.10%,100.00%,6.00%,6.10%,4.80%,5.20%,6.10%,9.10%,10.90%,8.70%,7.20%,6.20%,6.40%,5.90%,6.10%,4.60%,2.70%,1.80%,0.90%,1.50%,,81.60%,79.90%,76.70%,14.60%,11.40%,,(X),(X),(X),,100.00%,85.90%,26.90%,6.20%,0.70%,27.70%,0.00%,24.40%,14.10%,,115.00%,38.50%,9.70%,1.70%,28.90%,0.10%,36.00%,,100.00%,42.30%,57.70%,,100.00%,42.30%,5.50%,1.20%,0.50%,0.00%,0.00%,23.20%,11.80%,57.70%,21.40%,4.90%,0.20%,27.70%,0.00%,1.30%,2.30%,,100.00%,100.00%,38.30%,14.90%,0.20%,2.30%,0.20%,28.30%,18.90%,1.70%,1.20%,7.90%,6.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,39.60%,18.10%,6.50%,2.70%,23.20%,13.30%,2.10%,1.80%,30.70%,15.00%,4.70%,6.50%,31.60%,21.00%,,100.00%,92.10%,7.90%,3.80%,0.20%,0.70%,0.20%,0.10%,3.00%,,(X),(X),,100.00%,24.00%,76.00%,False,21.4,4.9,27.7,0.2,1.3,42.3,False
Census Tract 7; Hudson County; New Jersey!!Percent,100.00%,5.60%,5.50%,5.70%,5.00%,6.60%,11.70%,11.90%,9.70%,7.70%,5.00%,5.50%,5.10%,4.70%,3.40%,3.10%,1.40%,1.40%,0.90%,,82.00%,79.90%,77.60%,13.00%,10.20%,100.00%,5.80%,5.40%,5.60%,6.00%,6.70%,11.40%,12.20%,10.10%,7.90%,4.80%,6.00%,5.00%,3.80%,3.20%,3.10%,1.20%,1.30%,0.80%,,82.00%,79.60%,77.00%,11.60%,9.50%,100.00%,5.50%,5.60%,5.80%,4.00%,6.50%,11.90%,11.70%,9.40%,7.60%,5.20%,4.90%,5.30%,5.70%,3.70%,3.10%,1.70%,1.60%,0.90%,,82.10%,80.20%,78.10%,14.40%,10.90%,,(X),(X),(X),,100.00%,84.50%,32.70%,5.80%,1.60%,13.70%,0.00%,30.70%,15.50%,,116.60%,45.80%,8.60%,2.90%,15.00%,0.30%,44.00%,,100.00%,51.60%,48.40%,,100.00%,51.60%,6.30%,1.10%,1.30%,0.20%,0.00%,29.40%,13.30%,48.40%,26.50%,4.70%,0.30%,13.50%,0.00%,1.30%,2.10%,,100.00%,99.80%,39.30%,13.40%,0.50%,3.60%,0.50%,26.10%,17.40%,1.60%,1.40%,8.60%,6.20%,0.20%,0.00%,0.00%,0.00%,0.20%,0.10%,0.10%,,100.00%,35.00%,15.00%,9.90%,2.90%,24.30%,15.20%,3.30%,2.00%,30.80%,14.50%,4.10%,6.90%,31.00%,20.90%,,100.00%,91.30%,8.70%,3.30%,0.10%,0.80%,0.50%,0.10%,4.00%,,(X),(X),,100.00%,27.90%,72.10%,False,26.5,4.7,13.5,0.3,1.3,51.6,False
Census Tract 8; Hudson County; New Jersey!!Percent,100.00%,6.10%,4.00%,4.00%,3.90%,8.40%,14.60%,14.60%,10.20%,6.50%,5.70%,5.30%,4.30%,4.10%,3.10%,2.40%,1.60%,0.70%,0.70%,,85.20%,83.60%,81.00%,10.70%,8.40%,100.00%,6.10%,3.30%,4.10%,4.40%,10.30%,15.50%,14.00%,9.70%,6.70%,5.20%,5.60%,4.00%,3.80%,2.90%,2.00%,1.60%,0.50%,0.40%,,85.60%,84.20%,80.90%,9.40%,7.30%,100.00%,6.20%,4.80%,3.90%,3.30%,6.10%,13.50%,15.40%,10.70%,6.30%,6.20%,4.80%,4.70%,4.50%,3.30%,2.90%,1.50%,0.90%,1.00%,,84.70%,82.90%,81.00%,12.30%,9.70%,,(X),(X),(X),,100.00%,86.30%,43.40%,5.40%,0.60%,13.50%,0.00%,23.40%,13.70%,,114.70%,55.00%,8.60%,1.70%,14.70%,0.20%,34.40%,,100.00%,38.30%,61.70%,,100.00%,38.30%,4.60%,1.00%,0.60%,0.20%,0.00%,21.70%,10.20%,61.70%,38.80%,4.40%,0.00%,13.30%,0.00%,1.70%,3.50%,,100.00%,100.00%,42.40%,14.20%,0.30%,4.00%,0.70%,21.30%,14.70%,1.20%,0.90%,6.30%,9.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,34.40%,13.40%,10.80%,1.90%,29.80%,16.20%,2.40%,2.10%,24.90%,13.00%,1.80%,4.10%,23.50%,14.70%,,100.00%,90.20%,9.80%,5.70%,0.20%,0.50%,0.30%,0.20%,3.00%,,(X),(X),,100.00%,27.70%,72.30%,True,38.8,4.4,13.3,0.0,1.7,38.3,False
Census Tract 9.02; Hudson County; New Jersey!!Percent,100.00%,6.90%,5.70%,3.10%,2.50%,5.20%,11.30%,14.00%,10.90%,6.20%,4.10%,4.20%,4.10%,4.60%,6.00%,4.90%,3.00%,1.80%,1.50%,,83.70%,82.90%,81.00%,20.00%,17.10%,100.00%,6.80%,5.70%,3.10%,2.80%,6.00%,11.60%,14.20%,12.40%,6.80%,4.00%,4.00%,3.70%,4.10%,5.60%,4.50%,2.40%,1.30%,0.90%,,83.90%,82.70%,80.70%,17.50%,14.80%,100.00%,7.00%,5.80%,3.10%,2.30%,4.30%,10.90%,13.70%,9.20%,5.60%,4.30%,4.40%,4.70%,5.10%,6.50%,5.40%,3.50%,2.20%,2.10%,,83.60%,83.10%,81.20%,22.70%,19.70%,,(X),(X),(X),,100.00%,94.90%,22.30%,4.80%,0.40%,60.20%,0.00%,7.20%,5.10%,,105.60%,26.40%,6.20%,0.90%,61.10%,0.10%,10.80%,,100.00%,13.20%,86.80%,,100.00%,13.20%,2.60%,0.70%,0.20%,0.10%,0.00%,6.20%,3.50%,86.80%,19.80%,4.10%,0.20%,60.10%,0.00%,0.90%,1.60%,,100.00%,99.70%,42.90%,18.40%,0.10%,1.10%,0.20%,23.00%,16.20%,0.90%,0.70%,5.80%,7.20%,0.30%,0.00%,0.00%,0.00%,0.30%,0.20%,0.10%,,100.00%,42.90%,20.50%,2.90%,0.30%,25.30%,15.20%,6.40%,0.90%,28.90%,18.00%,10.80%,2.90%,26.10%,30.60%,,100.00%,93.10%,6.90%,3.70%,0.20%,0.30%,0.10%,0.80%,1.80%,,(X),(X),,100.00%,22.00%,78.00%,False,19.8,4.1,60.1,0.2,0.9,13.2,True
Census Tract 10; Hudson County; New Jersey!!Percent,100.00%,7.10%,7.50%,5.20%,3.70%,5.90%,9.00%,10.70%,10.30%,6.30%,5.20%,5.40%,5.70%,5.30%,4.80%,3.70%,2.30%,0.70%,1.20%,,79.70%,78.00%,75.90%,16.20%,12.70%,100.00%,7.60%,7.90%,4.60%,3.50%,7.00%,9.00%,10.60%,11.20%,6.40%,5.00%,5.10%,6.00%,4.30%,3.90%,4.20%,1.70%,0.70%,1.20%,,79.40%,78.30%,75.70%,14.50%,11.80%,100.00%,6.50%,7.10%,5.90%,4.00%,4.90%,8.90%,10.80%,9.30%,6.10%,5.40%,5.60%,5.40%,6.40%,5.60%,3.20%,2.90%,0.70%,1.20%,,80.00%,77.70%,76.10%,18.00%,13.60%,,(X),(X),(X),,100.00%,92.20%,27.60%,5.60%,1.40%,42.70%,0.00%,14.80%,7.80%,,108.40%,33.70%,7.30%,2.70%,43.70%,0.20%,20.90%,,100.00%,24.50%,75.50%,,100.00%,24.50%,3.90%,0.60%,0.80%,0.00%,0.00%,13.40%,5.80%,75.50%,23.70%,5.10%,0.60%,42.70%,0.00%,1.40%,2.10%,,100.00%,100.00%,36.90%,15.30%,0.40%,1.70%,0.10%,27.90%,19.30%,1.90%,1.50%,8.80%,6.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,42.50%,20.40%,4.80%,1.70%,22.10%,9.70%,2.60%,2.90%,30.60%,12.50%,4.10%,4.30%,33.20%,24.60%,,100.00%,92.60%,7.40%,4.80%,0.60%,0.20%,0.00%,0.70%,1.10%,,(X),(X),,100.00%,31.50%,68.50%,False,23.7,5.1,42.7,0.6,1.4,24.5,False
Census Tract 11; Hudson County; New Jersey!!Percent,100.00%,6.10%,5.00%,4.70%,4.10%,6.80%,12.10%,12.30%,9.10%,6.60%,5.70%,5.80%,5.70%,5.40%,4.50%,2.60%,1.40%,1.10%,0.90%,,83.70%,81.80%,78.80%,13.40%,10.50%,100.00%,5.40%,4.80%,4.80%,4.20%,8.10%,12.90%,11.90%,10.20%,7.00%,5.10%,5.80%,6.10%,5.00%,3.20%,2.50%,1.30%,0.90%,0.70%,,84.30%,82.60%,79.40%,11.30%,8.60%,100.00%,6.90%,5.30%,4.60%,4.10%,5.30%,11.20%,12.60%,8.10%,6.20%,6.30%,5.90%,5.30%,5.70%,5.90%,2.60%,1.60%,1.40%,1.10%,,83.10%,80.90%,78.30%,15.60%,12.50%,,(X),(X),(X),,100.00%,88.20%,30.20%,5.50%,0.90%,30.60%,0.00%,21.00%,11.80%,,113.20%,39.50%,8.60%,2.20%,32.00%,0.30%,30.70%,,100.00%,35.30%,64.70%,,100.00%,35.30%,4.70%,0.90%,0.80%,0.10%,0.00%,19.70%,9.10%,64.70%,25.40%,4.60%,0.10%,30.60%,0.00%,1.30%,2.70%,,100.00%,99.90%,38.20%,15.10%,0.30%,2.30%,0.30%,26.00%,16.10%,1.80%,1.40%,8.00%,7.80%,0.10%,0.00%,0.00%,0.00%,0.10%,0.10%,0.00%,,100.00%,40.20%,19.20%,7.10%,2.00%,24.90%,13.30%,1.50%,2.00%,27.80%,12.30%,3.20%,4.30%,30.30%,18.70%,,100.00%,90.90%,9.10%,4.00%,0.40%,1.00%,0.20%,0.30%,3.40%,,(X),(X),,100.00%,29.20%,70.80%,False,25.4,4.6,30.6,0.1,1.3,35.3,False
Census Tract 12.01; Hudson County; New Jersey!!Percent,100.00%,7.00%,5.30%,4.50%,3.90%,7.90%,12.70%,12.30%,10.30%,6.00%,5.20%,5.30%,4.60%,5.00%,3.00%,3.00%,2.20%,1.10%,0.70%,,82.20%,81.10%,78.40%,12.60%,10.00%,100.00%,7.70%,5.30%,5.20%,3.80%,9.20%,13.90%,12.30%,10.20%,6.10%,5.00%,5.30%,4.40%,3.80%,3.20%,2.00%,1.30%,0.80%,0.40%,,80.60%,79.60%,77.50%,9.80%,7.70%,100.00%,6.10%,5.30%,3.50%,4.20%,6.20%,11.10%,12.30%,10.30%,5.90%,5.50%,5.30%,4.90%,6.40%,2.80%,4.20%,3.20%,1.60%,1.10%,,84.10%,83.10%,79.50%,16.10%,12.90%,,(X),(X),(X),,100.00%,91.80%,18.80%,4.70%,1.00%,55.50%,0.00%,11.80%,8.20%,,109.10%,23.80%,7.20%,2.20%,58.30%,0.30%,17.20%,,100.00%,21.60%,78.40%,,100.00%,21.60%,4.30%,0.60%,0.30%,0.20%,0.00%,10.80%,5.30%,78.40%,14.50%,4.10%,0.70%,55.30%,0.00%,1.00%,2.80%,,100.00%,100.00%,37.30%,15.60%,0.20%,1.70%,0.00%,25.90%,16.80%,1.10%,1.10%,7.20%,10.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,42.20%,21.30%,4.80%,1.40%,26.90%,13.20%,1.60%,2.00%,26.10%,12.00%,4.80%,3.80%,32.00%,20.20%,,100.00%,93.00%,7.00%,2.90%,0.90%,0.10%,0.60%,0.20%,2.20%,,(X),(X),,100.00%,21.70%,78.30%,False,14.5,4.1,55.3,0.7,1.0,21.6,False
Census Tract 12.02; Hudson County; New Jersey!!Percent,100.00%,4.60%,5.80%,4.50%,5.80%,7.10%,11.40%,11.80%,7.00%,6.00%,6.70%,6.30%,5.40%,5.40%,5.40%,2.70%,1.70%,1.40%,0.90%,,84.40%,81.50%,78.80%,15.50%,12.10%,100.00%,5.20%,6.70%,3.90%,6.60%,7.50%,13.20%,13.20%,7.10%,6.60%,6.30%,4.90%,4.10%,4.40%,5.80%,2.50%,1.30%,0.30%,0.60%,,83.20%,80.10%,76.80%,12.50%,10.50%,100.00%,4.00%,4.80%,5.10%,5.10%,6.70%,9.70%,10.50%,7.00%,5.40%,7.10%,7.80%,6.80%,6.30%,5.10%,2.90%,2.20%,2.50%,1.10%,,85.60%,83.00%,80.80%,18.40%,13.80%,,(X),(X),(X),,100.00%,90.30%,21.50%,23.40%,0.70%,27.90%,0.00%,16.70%,9.70%,,110.60%,28.90%,26.50%,2.30%,29.50%,0.20%,23.30%,,100.00%,31.20%,68.80%,,100.00%,31.20%,6.70%,1.30%,0.60%,0.00%,0.00%,15.50%,7.10%,68.80%,14.80%,22.20%,0.20%,27.90%,0.00%,1.20%,2.60%,,100.00%,100.00%,41.90%,10.40%,0.60%,2.30%,0.50%,25.20%,15.00%,3.00%,2.20%,7.20%,9.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,26.60%,10.50%,7.10%,2.20%,25.80%,11.60%,2.40%,2.40%,40.40%,18.70%,8.60%,6.70%,26.00%,26.20%,,100.00%,88.60%,11.40%,5.30%,0.50%,0.50%,0.00%,0.20%,5.00%,,(X),(X),,100.00%,12.70%,87.30%,False,14.8,22.2,27.9,0.2,1.2,31.2,True
